Component,Type,Version in Repo,OpenStack Software Version,Latest Upstream Version,OpenStack Release Name,Compatibility,Recommended Upstream,Source Path,Notes,Comments,OpenStack Version (Numeric)
placement,openstack-service,2024.2.62+13651f45-628a320c,dalmatian v2.62,,Dalmatian,OK,dalmatian v2.62,helm-chart-versions.yaml,OpenStack Helm chart version,,2024.2
zaqar,openstack-service,2025.2.0+2d37d445c,Unknown,,Unknown,Unknown,Unknown,helm-chart-versions.yaml,OpenStack Helm chart version,,Unknown
masakari (image),openstack-service-image,ghcr.io/rackerlabs/genestack-images/masakari:2024.1-latest,Unknown,N/A,Unknown,Unknown,Unknown,base-helm-configs/masakari/masakari-helm-overrides.yaml,OpenStack masakari container image tag,,Unknown
cloudkitty (image),openstack-service-image,ghcr.io/rackerlabs/genestack-images/cloudkitty:2024.1-latest,Unknown,N/A,Unknown,Unknown,Unknown,base-helm-configs/cloudkitty/cloudkitty-helm-overrides.yaml,OpenStack cloudkitty container image tag,,Unknown
rabbitmq.com,kubernetes-api,rabbitmq.com/v1beta1,Unknown,v1.30+ (check K8s docs),Unknown,Unknown,Unknown,manifests/,Kubernetes API version used in manifests,,Unknown
storage.k8s.io,kubernetes-api,storage.k8s.io/v1,Unknown,v1.30+ (check K8s docs),Unknown,Unknown,Unknown,manifests/,Kubernetes API version used in manifests,,Unknown
v1,kubernetes-api,v1,Unknown,v1.30+ (check K8s docs),Unknown,Unknown,Unknown,manifests/,Kubernetes API version used in manifests,,Unknown
ceph.rook.io,operator-crd,v1,Unknown,N/A,Unknown,Unknown,Unknown,base-kustomize/rook-operator/base/crds.yaml,CRD version: v1,,Unknown
ceph.rook.io,operator-crd,v1,Unknown,N/A,Unknown,Unknown,Unknown,base-kustomize/rook-operator/base/crds.yaml,CRD version: v1,,Unknown
ceph.rook.io,operator-crd,v1,Unknown,N/A,Unknown,Unknown,Unknown,base-kustomize/rook-operator/base/crds.yaml,CRD version: v1,,Unknown
ceph.rook.io,operator-crd,v1,Unknown,N/A,Unknown,Unknown,Unknown,base-kustomize/rook-operator/base/crds.yaml,CRD version: v1,,Unknown
ceph.rook.io,operator-crd,v1,Unknown,N/A,Unknown,Unknown,Unknown,base-kustomize/rook-operator/base/crds.yaml,CRD version: v1,,Unknown
ceph.rook.io,operator-crd,v1,Unknown,N/A,Unknown,Unknown,Unknown,base-kustomize/rook-operator/base/crds.yaml,CRD version: v1,,Unknown
ceph.rook.io,operator-crd,v1,Unknown,N/A,Unknown,Unknown,Unknown,base-kustomize/rook-operator/base/crds.yaml,CRD version: v1,,Unknown
ceph.rook.io,operator-crd,v1,Unknown,N/A,Unknown,Unknown,Unknown,base-kustomize/rook-operator/base/crds.yaml,CRD version: v1,,Unknown
ceph.rook.io,operator-crd,v1,Unknown,N/A,Unknown,Unknown,Unknown,base-kustomize/rook-operator/base/crds.yaml,CRD version: v1,,Unknown
ceph.rook.io,operator-crd,v1,Unknown,N/A,Unknown,Unknown,Unknown,base-kustomize/rook-operator/base/crds.yaml,CRD version: v1,,Unknown
ceph.rook.io,operator-crd,v1,Unknown,N/A,Unknown,Unknown,Unknown,base-kustomize/rook-operator/base/crds.yaml,CRD version: v1,,Unknown
ceph.rook.io,operator-crd,v1,Unknown,N/A,Unknown,Unknown,Unknown,base-kustomize/rook-operator/base/crds.yaml,CRD version: v1,,Unknown
ceph.rook.io,operator-crd,v1,Unknown,N/A,Unknown,Unknown,Unknown,base-kustomize/rook-operator/base/crds.yaml,CRD version: v1,,Unknown
ceph.rook.io,operator-crd,v1,Unknown,N/A,Unknown,Unknown,Unknown,base-kustomize/rook-operator/base/crds.yaml,CRD version: v1,,Unknown
ceph.rook.io,operator-crd,v1,Unknown,N/A,Unknown,Unknown,Unknown,base-kustomize/rook-operator/base/crds.yaml,CRD version: v1,,Unknown
ceph.rook.io,operator-crd,v1,Unknown,N/A,Unknown,Unknown,Unknown,base-kustomize/rook-operator/base/crds.yaml,CRD version: v1,,Unknown
ceph.rook.io,operator-crd,v1,Unknown,N/A,Unknown,Unknown,Unknown,base-kustomize/rook-operator/base/crds.yaml,CRD version: v1,,Unknown
objectbucket.io,operator-crd,v1alpha1,Unknown,N/A,Unknown,Unknown,Unknown,base-kustomize/rook-operator/base/crds.yaml,CRD version: v1alpha1,,Unknown
objectbucket.io,operator-crd,v1alpha1,Unknown,N/A,Unknown,Unknown,Unknown,base-kustomize/rook-operator/base/crds.yaml,CRD version: v1alpha1,,Unknown
ansible,python-package,"9.0,<10.0",Unknown,13.0.0,Unknown,Unknown,Unknown,requirements.txt,,,Unknown
ansible-core,python-package,2.17.0,Unknown,2.20.0,Unknown,Unknown,Unknown,requirements.txt,,,Unknown
cryptography,python-package,43.0.1,Unknown,46.0.3,Unknown,Unknown,Unknown,requirements.txt,,,Unknown
