Component,Type,Version in Repo,Latest Upstream Version,Source Path,Notes,OpenStack Software Version,OpenStack Version (Numeric),OpenStack Release Name,Compatibility,Recommended Upstream
placement,openstack-service,2024.2.62+13651f45-628a320c,,helm-chart-versions.yaml,OpenStack Helm chart version,dalmatian v2.62,2024.2,Dalmatian,OK,dalmatian v2.62
zaqar,openstack-service,2025.2.0+2d37d445c,,helm-chart-versions.yaml,OpenStack Helm chart version,Unknown,Unknown,Unknown,Unknown,Unknown
masakari (image),openstack-service-image,ghcr.io/rackerlabs/genestack-images/masakari:2024.1-latest,N/A,base-helm-configs/masakari/masakari-helm-overrides.yaml,OpenStack masakari container image tag,Unknown,Unknown,Unknown,Unknown,Unknown
cloudkitty (image),openstack-service-image,ghcr.io/rackerlabs/genestack-images/cloudkitty:2024.1-latest,N/A,base-helm-configs/cloudkitty/cloudkitty-helm-overrides.yaml,OpenStack cloudkitty container image tag,Unknown,Unknown,Unknown,Unknown,Unknown
rabbitmq.com,kubernetes-api,rabbitmq.com/v1beta1,v1.30+ (check K8s docs),manifests/,Kubernetes API version used in manifests,Unknown,Unknown,Unknown,Unknown,Unknown
storage.k8s.io,kubernetes-api,storage.k8s.io/v1,v1.30+ (check K8s docs),manifests/,Kubernetes API version used in manifests,Unknown,Unknown,Unknown,Unknown,Unknown
v1,kubernetes-api,v1,v1.30+ (check K8s docs),manifests/,Kubernetes API version used in manifests,Unknown,Unknown,Unknown,Unknown,Unknown
ceph.rook.io,operator-crd,v1,N/A,base-kustomize/rook-operator/base/crds.yaml,CRD version: v1,Unknown,Unknown,Unknown,Unknown,Unknown
ceph.rook.io,operator-crd,v1,N/A,base-kustomize/rook-operator/base/crds.yaml,CRD version: v1,Unknown,Unknown,Unknown,Unknown,Unknown
ceph.rook.io,operator-crd,v1,N/A,base-kustomize/rook-operator/base/crds.yaml,CRD version: v1,Unknown,Unknown,Unknown,Unknown,Unknown
ceph.rook.io,operator-crd,v1,N/A,base-kustomize/rook-operator/base/crds.yaml,CRD version: v1,Unknown,Unknown,Unknown,Unknown,Unknown
ceph.rook.io,operator-crd,v1,N/A,base-kustomize/rook-operator/base/crds.yaml,CRD version: v1,Unknown,Unknown,Unknown,Unknown,Unknown
ceph.rook.io,operator-crd,v1,N/A,base-kustomize/rook-operator/base/crds.yaml,CRD version: v1,Unknown,Unknown,Unknown,Unknown,Unknown
ceph.rook.io,operator-crd,v1,N/A,base-kustomize/rook-operator/base/crds.yaml,CRD version: v1,Unknown,Unknown,Unknown,Unknown,Unknown
ceph.rook.io,operator-crd,v1,N/A,base-kustomize/rook-operator/base/crds.yaml,CRD version: v1,Unknown,Unknown,Unknown,Unknown,Unknown
